,Price,Category,Beds,Baths,Area,Plot_size,Address,Broker,URL
23,"$429,990",Condo for sale,3,2.5,"1,691sqft
1,691 square feet",,"6535 Cyrils Dr, Saint Cloud, FL 34771",Built by Ashton Woods,https://www.realtor.com/realestateandhomes-detail/6535-Cyrils-Dr_Saint-Cloud_FL_34771_M93045-93022
24,"$344,849",House for sale,4,2,"1,758sqft
1,758 square feet",,"1068 Griffon Ave, Lake Alfred, FL 33850",Built by Dream Finders Homes,https://www.realtor.com/realestateandhomes-detail/1068-Griffon-Ave_Lake-Alfred_FL_33850_M96957-67060
25,"$299,990",House for sale,3,2,"1,504sqft
1,504 square feet",,"31061 Silver Stage Dr, Brooksville, FL 34602",Built by D.R. Horton - West Central Florida,https://www.realtor.com/realestateandhomes-detail/31061-Silver-Stage-Dr_Brooksville_FL_34602_M96289-88310
26,"$693,995",House for sale,3,2.5,"2,596sqft
2,596 square feet",,"44525 Little Blue Heron Way, Punta Gorda, FL 33982",Built by Toll Brothers,https://www.realtor.com/realestateandhomes-detail/44525-Little-Blue-Heron-Way_Punta-Gorda_FL_33982_M92453-99181
27,"$599,990",House for sale,4,3,"2,540sqft
2,540 square feet",,"15 Mahogany Way, Palm Coast, FL 32164",Built by Toll Brothers,https://www.realtor.com/realestateandhomes-detail/15-Mahogany-Way_Palm-Coast_FL_32164_M91834-36250
28,"$310,555",Townhouse for sale,2,2,"1,608sqft
1,608 square feet",,"2624 Kinsale Ln, Ormond Beach, FL 32174",Built by D.R. Horton - Orlando North,https://www.realtor.com/realestateandhomes-detail/2624-Kinsale-Ln_Ormond-Beach_FL_32174_M93725-19214
29,"$376,999",House for sale,4,2,"1,828sqft
1,828 square feet",,"44507 Palm Frond Dr, Punta Gorda, FL 33982",Built by D.R. Horton - Southwest Florida,https://www.realtor.com/realestateandhomes-detail/44507-Palm-Frond-Dr_Punta-Gorda_FL_33982_M93649-30944
30,"$430,851",House for sale,4,3,"2,070sqft
2,070 square feet",,"3432 Auvenshine Way, Orange Park, FL 32065",Built by Richmond American Homes,https://www.realtor.com/realestateandhomes-detail/3432-Auvenshine-Way_Orange-Park_FL_32065_M91618-22469
31,"$310,555",Townhouse for sale,2,2,"1,608sqft
1,608 square feet",,"2652 Kinsale Ln, Ormond Beach, FL 32174",Built by D.R. Horton - Orlando North,https://www.realtor.com/realestateandhomes-detail/2652-Kinsale-Ln_Ormond-Beach_FL_32174_M93415-06333
32,"$503,900",House for sale,5,3,"3,010sqft
3,010 square feet",,"3152 Silver Maple Dr, Pensacola, FL 32534",Built by D.R. Horton - Pensacola West,https://www.realtor.com/realestateandhomes-detail/3152-Silver-Maple-Dr_Pensacola_FL_32534_M98960-28943
