Price($),Category,Bedrooms,Bathrooms,Area(sqft),Plot_size(sqft),Address,Broker,URL,ZIP,Place_name
344849.0,House,4,2,1758.0,,"1068 Griffon Ave, Lake Alfred, FL 33850",Dream Finders Homes,https://www.realtor.com/realestateandhomes-detail/1068-Griffon-Ave_Lake-Alfred_FL_33850_M96957-67060,33850.0,Lake Alfred
299990.0,House,3,2,1504.0,,"31061 Silver Stage Dr, Brooksville, FL 34602",D.R. Horton - West Central Florida,https://www.realtor.com/realestateandhomes-detail/31061-Silver-Stage-Dr_Brooksville_FL_34602_M96289-88310,34602.0,Brooksville
693995.0,House,3,2.5,2596.0,,"44525 Little Blue Heron Way, Punta Gorda, FL 33982",Toll Brothers,https://www.realtor.com/realestateandhomes-detail/44525-Little-Blue-Heron-Way_Punta-Gorda_FL_33982_M92453-99181,33982.0,Punta Gorda
599990.0,House,4,3,2540.0,,"15 Mahogany Way, Palm Coast, FL 32164",Toll Brothers,https://www.realtor.com/realestateandhomes-detail/15-Mahogany-Way_Palm-Coast_FL_32164_M91834-36250,32164.0,Palm Coast
310555.0,Townhouse,2,2,1608.0,,"2624 Kinsale Ln, Ormond Beach, FL 32174",D.R. Horton - Orlando North,https://www.realtor.com/realestateandhomes-detail/2624-Kinsale-Ln_Ormond-Beach_FL_32174_M93725-19214,32174.0,Ormond Beach
376999.0,House,4,2,1828.0,,"44507 Palm Frond Dr, Punta Gorda, FL 33982",D.R. Horton - Southwest Florida,https://www.realtor.com/realestateandhomes-detail/44507-Palm-Frond-Dr_Punta-Gorda_FL_33982_M93649-30944,33982.0,Punta Gorda
430851.0,House,4,3,2070.0,,"3432 Auvenshine Way, Orange Park, FL 32065",Richmond American Homes,https://www.realtor.com/realestateandhomes-detail/3432-Auvenshine-Way_Orange-Park_FL_32065_M91618-22469,32065.0,Orange Park
310555.0,Townhouse,2,2,1608.0,,"2652 Kinsale Ln, Ormond Beach, FL 32174",D.R. Horton - Orlando North,https://www.realtor.com/realestateandhomes-detail/2652-Kinsale-Ln_Ormond-Beach_FL_32174_M93415-06333,32174.0,Ormond Beach
503900.0,House,5,3,3010.0,,"3152 Silver Maple Dr, Pensacola, FL 32534",D.R. Horton - Pensacola West,https://www.realtor.com/realestateandhomes-detail/3152-Silver-Maple-Dr_Pensacola_FL_32534_M98960-28943,32534.0,Pensacola
444999.0,House,3,2,2034.0,,"25442 Kowloon Ln, Punta Gorda, FL 33983",D.R. Horton - Southwest Florida,https://www.realtor.com/realestateandhomes-detail/25442-Kowloon-Ln_Punta-Gorda_FL_33983_M93614-50272,33983.0,Punta Gorda
496990.0,House,4,3,2546.0,,"2388 Clary Sage Dr, Spring Hill, FL 34609",M/I Homes,https://www.realtor.com/realestateandhomes-detail/2388-Clary-Sage-Dr_Spring-Hill_FL_34609_M91925-26264,34609.0,Spring Hill
399995.0,House,3,2,1802.0,,"44323 Panther Dr, Punta Gorda, FL 33982",Toll Brothers,https://www.realtor.com/realestateandhomes-detail/44323-Panther-Dr_Punta-Gorda_FL_33982_M93429-90650,33982.0,Punta Gorda
527580.0,House,5,3,3316.0,,"38401 Pindos Dr, Dade City, FL 33525",M/I Homes,https://www.realtor.com/realestateandhomes-detail/38401-Pindos-Dr_Dade-City_FL_33525_M95057-67593,33525.0,Dade City
331990.0,House,3,2,1589.0,,"34108 Chipping Sparrow Dr, Leesburg, FL 34788",Stanley Martin Homes,https://www.realtor.com/realestateandhomes-detail/34108-Chipping-Sparrow-Dr_Leesburg_FL_34788_M96322-26040,34788.0,Leesburg
284990.0,House,2,2,1614.0,,"4171 NW 44th Cir, Ocala, FL 34482",D.R. Horton - West Central Florida,https://www.realtor.com/realestateandhomes-detail/4171-NW-44th-Cir_Ocala_FL_34482_M98669-46254,34482.0,Ocala
